Source;Destination;Length;Source Address;Destination Address;Source.1;Destination.1;Address_Resolution_Protocol;Internet_Control_Message_Protocol;Transmission_Control_Protocol;Info;label
10.0.123.2;10.0.123.3;150;85.162.240.123;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;24.236.123.252;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;102.94.162.207;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;126.29.37.197;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;200.235.3.98;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;221.50.18.123;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;184.49.217.129;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;179.101.241.125;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;133.5.201.94;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;236.145.86.250;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;143.140.93.201;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;234.62.13.76;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;245.150.227.246;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;58.185.204.185;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;56.53.126.184;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;117.45.29.117;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;244.74.174.85;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;175.118.214.148;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;2962;220.109.190.66;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;2962;129.107.94.163;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;3;1
10.0.123.2;10.0.123.3;2962;111.73.160.48;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;3;1
10.0.123.2;10.0.123.3;2962;192.127.156.107;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;3;1
10.0.123.2;10.0.123.3;2962;96.118.241.129;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;3;1
10.0.123.2;10.0.123.3;2974;94.2.201.150;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;1;1;0;3;1
10.0.123.2;10.0.123.3;150;96.63.187.23;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;146.254.208.123;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;238.234.123.145;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;196.31.107.169;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;111.158.121.124;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;197.0.252.213;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;23.85.3.149;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;3.82.84.3;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;187.105.157.149;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;105.129.196.137;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;250.238.179.169;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;179.146.110.118;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;76.126.119.1;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;245.45.164.145;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;32.23.249.221;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
